timestamp,open,high,low,close
2019-07-19 21:23:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:22:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:21:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:20:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:19:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:18:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:17:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:16:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:15:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:14:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:13:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:12:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:11:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:10:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:09:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:08:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:07:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:06:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:05:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:04:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:03:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:02:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:01:00,1.2499,1.2499,1.2499,1.2499
2019-07-19 21:00:00,1.2500,1.2501,1.2499,1.2499
2019-07-19 20:59:00,1.2500,1.2502,1.2500,1.2501
2019-07-19 20:58:00,1.2502,1.2504,1.2498,1.2501
2019-07-19 20:57:00,1.2504,1.2506,1.2500,1.2501
2019-07-19 20:56:00,1.2504,1.2506,1.2503,1.2504
2019-07-19 20:55:00,1.2505,1.2505,1.2502,1.2503
2019-07-19 20:54:00,1.2505,1.2507,1.2503,1.2505
2019-07-19 20:53:00,1.2503,1.2505,1.2501,1.2504
2019-07-19 20:52:00,1.2504,1.2504,1.2501,1.2503
2019-07-19 20:51:00,1.2500,1.2504,1.2499,1.2504
2019-07-19 20:50:00,1.2502,1.2502,1.2498,1.2499
2019-07-19 20:49:00,1.2503,1.2503,1.2499,1.2501
2019-07-19 20:48:00,1.2500,1.2503,1.2499,1.2503
2019-07-19 20:47:00,1.2499,1.2501,1.2497,1.2500
2019-07-19 20:46:00,1.2500,1.2501,1.2497,1.2499
2019-07-19 20:45:00,1.2499,1.2500,1.2498,1.2500
2019-07-19 20:44:00,1.2500,1.2500,1.2497,1.2499
2019-07-19 20:43:00,1.2495,1.2500,1.2495,1.2500
2019-07-19 20:42:00,1.2496,1.2497,1.2494,1.2496
2019-07-19 20:41:00,1.2497,1.2498,1.2495,1.2496
2019-07-19 20:40:00,1.2497,1.2499,1.2495,1.2496
2019-07-19 20:39:00,1.2497,1.2498,1.2495,1.2497
2019-07-19 20:38:00,1.2497,1.2498,1.2494,1.2497
2019-07-19 20:37:00,1.2496,1.2498,1.2495,1.2496
2019-07-19 20:36:00,1.2496,1.2496,1.2495,1.2496
2019-07-19 20:35:00,1.2497,1.2497,1.2494,1.2496
2019-07-19 20:34:00,1.2496,1.2497,1.2494,1.2497
2019-07-19 20:33:00,1.2498,1.2498,1.2494,1.2497
2019-07-19 20:32:00,1.2498,1.2498,1.2495,1.2497
2019-07-19 20:31:00,1.2499,1.2499,1.2496,1.2498
2019-07-19 20:30:00,1.2501,1.2502,1.2497,1.2499
2019-07-19 20:29:00,1.2500,1.2501,1.2499,1.2501
2019-07-19 20:28:00,1.2500,1.2500,1.2499,1.2500
2019-07-19 20:27:00,1.2500,1.2500,1.2499,1.2500
2019-07-19 20:26:00,1.2500,1.2500,1.2499,1.2500
2019-07-19 20:25:00,1.2500,1.2500,1.2499,1.2500
2019-07-19 20:24:00,1.2499,1.2501,1.2499,1.2500
2019-07-19 20:23:00,1.2499,1.2501,1.2499,1.2500
2019-07-19 20:22:00,1.2500,1.2501,1.2498,1.2500
2019-07-19 20:21:00,1.2500,1.2501,1.2499,1.2501
2019-07-19 20:20:00,1.2502,1.2502,1.2499,1.2501
2019-07-19 20:19:00,1.2500,1.2502,1.2500,1.2501
2019-07-19 20:18:00,1.2501,1.2502,1.2499,1.2501
2019-07-19 20:17:00,1.2502,1.2503,1.2502,1.2502
2019-07-19 20:16:00,1.2502,1.2502,1.2501,1.2502
